rank,company,country,sales,profit,assets,marketvalue
86,PepsiCo,United States,79.47,7.62,92.38,238.13
87,Merck & Co.,United States,50.37,13.05,105.69,213.83
88,Anthem,United States,144.35,6.24,100.49,121.25
89,Bank of Nova Scotia,Canada,30.35,7.96,979.3,80.58
90,American International Group,United States,52.06,9.39,521.83,48.73
91,Glencore International,Switzerland,203.41,5,127.51,79.9
92,Cisco Systems,United States,51.55,11.82,94.26,213.36
93,Anheuser-Busch InBev,Belgium,54.33,4.66,219.37,118.52
94,Walt Disney,United States,72.98,3.08,203.31,215.33
95,Chubb,Switzerland,40.95,8.54,181.75,87.31
96,CITIC,Hong Kong,91.21,9.03,1370.59,31.96
96,Lloyds Banking Group,United Kingdom,58.48,7.36,1200.75,41.34
98,IBM,United States,67.25,5.52,133.28,124.33
99,Sanofi,France,44.63,7.36,136.74,136.86
100,United Parcel Service,United States,97.2,12.89,69.41,163.03
